"","intro_resp.keys","intro_resp.rt","participant","date","expName","psychopyVersion","OS","frameRate","inst_one_resp.keys","inst_one_resp.rt","mouse.x","mouse.y","mouse.leftButton","mouse.midButton","mouse.rightButton","mouse.time","mouse.clicked_name","practice_face.thisRepN","practice_face.thisTrialN","practice_face.thisN","practice_face.thisIndex","practice_face.ran","face_file","corr_resp_face","body_file","corr_resp_body","begin_resp.keys","begin_resp.rt","trial_one_loop.thisRepN","trial_one_loop.thisTrialN","trial_one_loop.thisN","trial_one_loop.thisIndex","trial_one_loop.ran","insr_two_resp.keys","insr_two_resp.rt","practice_loop_body.thisRepN","practice_loop_body.thisTrialN","practice_loop_body.thisN","practice_loop_body.thisIndex","practice_loop_body.ran","trial_two_loop.thisRepN","trial_two_loop.thisTrialN","trial_two_loop.thisN","trial_two_loop.thisIndex","trial_two_loop.ran"
"1","space",8.558,71095,"2022-11-19_11h52.19.347","KW_BodyFaceExp","2022.2.0","Win32",60.0240096,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","",NA,71095,"2022-11-19_11h52.19.347","KW_BodyFaceExp","2022.2.0","Win32",60.0240096,"right",12.918,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","",NA,71095,"2022-11-19_11h52.19.347","KW_BodyFaceExp","2022.2.0","Win32",60.0240096,"",NA,0.027777778,-0.022222222,1,0,0,9.863,"resp_neutral",0,0,0,1,1,"F02.mp4","NEUTRAL","B02.mp4","ANGRY","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","",NA,71095,"2022-11-19_11h52.19.347","KW_BodyFaceExp","2022.2.0","Win32",60.0240096,"",NA,0.027777778,-0.022222222,1,0,0,0.483,"resp_neutral",0,1,1,3,1,"F04.mp4","NEUTRAL","B04.mp4","ANGRY","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","",NA,71095,"2022-11-19_11h52.19.347","KW_BodyFaceExp","2022.2.0","Win32",60.0240096,"",NA,0.027777778,-0.022222222,1,0,0,0.387,"resp_neutral",0,2,2,5,1,"F06.mp4","HAPPY","B06.mp4","ANGRY","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","",NA,71095,"2022-11-19_11h52.19.347","KW_BodyFaceExp","2022.2.0","Win32",60.0240096,"",NA,0.352777778,0.0625,1,0,0,0.733,"resp_happy",0,3,3,2,1,"F03.mp4","HAPPY","B03.mp4","NEUTRAL","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","",NA,71095,"2022-11-19_11h52.19.347","KW_BodyFaceExp","2022.2.0","Win32",60.0240096,"",NA,0.030555556,-0.0125,1,0,0,0.38,"resp_neutral",0,4,4,7,1,"F08.mp4","ANGRY","B08.mp4","NEUTRAL","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","",NA,71095,"2022-11-19_11h52.19.347","KW_BodyFaceExp","2022.2.0","Win32",60.0240096,"",NA,-0.359722222,-0.054166667,1,0,0,0.792,"resp_angry",0,5,5,9,1,"F10.mp4","ANGRY","B10.mp4","NEUTRAL","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","",NA,71095,"2022-11-19_11h52.19.347","KW_BodyFaceExp","2022.2.0","Win32",60.0240096,"",NA,-0.343055556,-0.018055556,1,0,0,0.361,"resp_angry",0,6,6,6,1,"F07.mp4","ANGRY","B07.mp4","HAPPY","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","",NA,71095,"2022-11-19_11h52.19.347","KW_BodyFaceExp","2022.2.0","Win32",60.0240096,"",NA,-0.026388889,0.0375,1,0,0,0.353,"resp_neutral",0,7,7,0,1,"F01.mp4","ANGRY","B01.mp4","HAPPY","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","",NA,71095,"2022-11-19_11h52.19.347","KW_BodyFaceExp","2022.2.0","Win32",60.0240096,"",NA,-0.020833333,0.011111111,1,0,0,0.489,"resp_neutral",0,8,8,8,1,"F09.mp4","NEUTRAL","B09.mp4","HAPPY","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","",NA,71095,"2022-11-19_11h52.19.347","KW_BodyFaceExp","2022.2.0","Win32",60.0240096,"",NA,-0.020833333,0.011111111,1,0,0,0.409,"resp_neutral",0,9,9,4,1,"F05.mp4","ANGRY","B05.mp4","NEUTRAL","",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","",NA,71095,"2022-11-19_11h52.19.347","KW_BodyFaceExp","2022.2.0","Win32",60.0240096,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","","","space",2.069,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","",NA,71095,"2022-11-19_11h52.19.347","KW_BodyFaceExp","2022.2.0","Win32",60.0240096,"",NA,-0.020833333,0.011111111,1,0,0,0.724,"resp_neutral",NA,NA,NA,NA,NA,"F02.mp4","NEUTRAL","","","",NA,0,0,0,1,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","",NA,71095,"2022-11-19_11h52.19.347","KW_BodyFaceExp","2022.2.0","Win32",60.0240096,"",NA,-0.020833333,0.011111111,1,0,0,0.499,"resp_neutral",NA,NA,NA,NA,NA,"F36.mp4","ANGRY","","","",NA,0,1,1,35,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
